NO,Operator,Node_Status,Life,Asset,Province,Service_Center,Brand,NE_IP,NE_Name,NE_Type,Bandwidth,Used_Port,Free_Port,Total,Battery_life,Type,PON_Type,OLT_Slot,Platform,Name_Umbo,customer_Umbo,OLT_Twin,Procurement_OLT,Procurement_Battery_Li_On,Battery_Site,Asset_Battery,Check_Update_OLT
"3393","24K","null","null","null","เพชรบูรณ์","หล่มสัก 1","ZTE","10.223.163.61","pbn-btch-24kolt01(10.223.163.61)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3394","24K","null","null","null","พิจิตร","พิจิตร 1","ZTE","10.223.164.61","pct-dsl2-24kolt01(10.223.164.61)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3395","BigRock","null","null","null","พิจิตร","พิจิตร 1","ZTE","10.223.164.136","pct-bby-bigrock-olt01(10.223.164.136)","C320v2","10G","2","6","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3396","24K","null","null","null","ลำพูน","ป่าซาง","ZTE","10.223.159.34","lpn-mapd-24kolt01(10.223.159.34) Mae Pan Deng","C320v2","10G","2","6","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3397","BigRock","null","null","null","ตาก","แม่สอด 1","ZTE","10.223.169.55","tak-bhd-bigrock-olt01(10.223.169.55)","C320v2","10G","2","6","10","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3398","BigRock","null","null","null","พิษณุโลก","พิษณุโลก 1","ZTE","10.223.165.146","plk-bkt-bigrock-olt01-BAN SA NAM KHEE(10.223.165.146)","C320v2","10G","2","6","10","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3399","BigRock","null","null","null","แพร่","แพร่ 2","ZTE","10.223.166.50","pre-blnk-bigrock-olt01(10.223.166.50)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3400","USO","null","null","null","เพชรบูรณ์","หล่มสัก 1","ZTE","10.223.242.15","pbn-lko-usoolt643 (10.223.242.15)","C320v2","10G","2","6","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","pbn-lko-usoolt643 (USO-ตาดกลอย)","10","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3401","USO","null","null","null","สุโขทัย","สุโขทัย 1","ZTE","10.223.240.2","sti-kmt-usoolt620 (10.223.240.2)","C320v2","10G","4","4","10","3 - 5 ปี","ไม่พบใน Mng","null","2 Slot","-","sti-kmt-USOOLT620เขาพร้าน้ำพุ","10","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3402","24K","null","null","null","อุทัยธานี","หนองฉาง","ZTE","10.223.170.66","uti-nmrb-24kolt01(10.223.170.66)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3403","24K","null","null","null","พะเยา","พะเยา 1","ZTE","10.223.167.98","pyo-ssng-24kolt02(10.223.167.98)","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","null","null","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
"3404","NT","Online","รอสอบถาม","null","กำแพงเพชร","คลองขลุง","ZTE","10.230.77.62","KPT_NT2_MLD_Outdoor(LR)","C320v2","10G","2","6","10","3 - 5 ปี","Outdoor","LR","2 Slot","-","KPT_NT2_MLD_บ้านแม่ลาด ม.13_OUTDOOR[LR]","13","no","null","null","null","null","OLT ยังใช้"
"3405","USO","null","null","null","นครสวรรค์","ลาดยาว","ZTE","10.223.239.41","TOT_USO_Mor1,2,3","C320v2","10G","1","7","10","6 - 8 ปี","ไม่พบใน Mng","null","2 Slot","-","nsn-mle-nsn-m123-uso3kolt01","10","no","null","null","null","null","ไม่ใช่ OLT NT ไม่มีใน Mng"
